EXP,SITE,Year,DOY,AGB,LAI,Yield,STM,LEF,POD,ROT
BR1_13_BRS_291_0_NA_38,BR1,2013,317,266.7,0.4,NA,99.98,166.8,0,NA
BR1_13_BRS_291_0_NA_38,BR1,2013,329,1336,2.02,NA,588.9,747.9,0,NA
BR1_13_BRS_291_0_NA_38,BR1,2013,336,NA,NA,NA,NA,NA,NA,NA
BR1_13_BRS_291_0_NA_38,BR1,2013,350,4337,5.34,NA,2556,1719,61.46,NA
BR1_13_BRS_291_0_NA_38,BR1,2014,6,10193,5.44,NA,5435,2924,1832,NA
BR1_13_BRS_291_0_NA_38,BR1,2014,28,11622,2.26,NA,5516,1157,4948,NA
BR1_13_BRS_291_0_NA_38,BR1,2014,41,7655,0,2965,3510,0,4145,NA
BR1_13_BRS_291_1_NA_37,BR1,2013,317,316.1,0.59,NA,126.4,189.6,0,NA
BR1_13_BRS_291_1_NA_37,BR1,2013,327,NA,NA,NA,NA,NA,NA,NA
BR1_13_BRS_291_1_NA_37,BR1,2013,329,1606,2.77,NA,768,838.1,0,NA
BR1_13_BRS_291_1_NA_37,BR1,2013,350,6388,6.87,NA,3970,2372,45.93,NA
BR1_13_BRS_291_1_NA_37,BR1,2014,6,6717,4.22,NA,4108,1651,957.5,NA
BR1_13_BRS_291_1_NA_37,BR1,2014,28,17810,6.47,NA,7561,2882,7366,NA
BR1_13_BRS_291_1_NA_37,BR1,2014,50,11607,0,5374,4696,0,6910,NA
BR1_13_BRS_318_0_NA_22,BR1,2013,353,240,0.36,NA,93,147,0,NA
BR1_13_BRS_318_0_NA_22,BR1,2014,7,2560,3.17,NA,1310,1251,0,NA
BR1_13_BRS_318_0_NA_22,BR1,2014,12,NA,NA,NA,NA,NA,NA,NA
BR1_13_BRS_318_0_NA_22,BR1,2014,21,6173,6.18,NA,3725,2311,137,NA
BR1_13_BRS_318_0_NA_22,BR1,2014,35,9494,5.38,NA,5030,2529,1935,NA
BR1_13_BRS_318_0_NA_22,BR1,2014,60,7700,1.36,NA,3729,597,3374,NA
BR1_13_BRS_318_0_NA_22,BR1,2014,78,6153,0,2545,2776,0,3377,NA
BR1_13_BRS_318_1_NA_16,BR1,2013,353,229,0.37,NA,86,142,0,NA
BR1_13_BRS_318_1_NA_16,BR1,2014,7,3084,3.54,NA,1636,1448,0,NA
BR1_13_BRS_318_1_NA_16,BR1,2014,21,5097,5.19,NA,3117,1881,98,NA
BR1_13_BRS_318_1_NA_16,BR1,2014,35,7943,4.86,NA,4523,2309,1111,NA
BR1_13_BRS_318_1_NA_16,BR1,2014,60,17438,5.9,NA,6541,2805,8092,NA
BR1_13_BRS_318_1_NA_16,BR1,2014,85,9921,0,5254,3386,0,6536,NA
BR1_14_BRS_008_0_NA_38,BR1,2014,37,406,0.48,NA,166,240,0,NA
BR1_14_BRS_008_0_NA_38,BR1,2014,46,381,0.49,NA,164,217,0,NA
BR1_14_BRS_008_0_NA_38,BR1,2014,60,938,0.83,NA,448,447,44,NA
BR1_14_BRS_008_0_NA_38,BR1,2014,73,1731,0.55,NA,582,613,536,NA
BR1_14_BRS_008_0_NA_38,BR1,2014,97,3462,0.6,NA,796,376,2291,NA
BR1_14_BRS_008_0_NA_38,BR1,2014,100,2761,0,1630,567,0,2194,NA
BR1_14_BRS_008_1_NA_36,BR1,2014,37,499,0.69,NA,205,295,0,NA
BR1_14_BRS_008_1_NA_36,BR1,2014,46,1760,2.82,NA,849,911,0,NA
BR1_14_BRS_008_1_NA_36,BR1,2014,60,3286,4.5,NA,1904,1332,49,NA
BR1_14_BRS_008_1_NA_36,BR1,2014,73,3907,2.74,NA,2064,1244,598,NA
BR1_14_BRS_008_1_NA_36,BR1,2014,97,13296,4.84,NA,4003,2343,6950,NA
BR1_14_BRS_008_1_NA_36,BR1,2014,120,7429,0,4082,2235,0,5194,NA
BR2_13_BRS_274_0_NA_28,BR2,2013,305,261,0.4,NA,85,176,0,NA
BR2_13_BRS_274_0_NA_28,BR2,2013,322,1526,1.09,NA,584,939,3,NA
BR2_13_BRS_274_0_NA_28,BR2,2013,331,NA,NA,NA,NA,NA,NA,NA
BR2_13_BRS_274_0_NA_28,BR2,2013,353,10866,8.99,NA,6790,3614,462,NA
BR2_13_BRS_274_0_NA_28,BR2,2014,2,10068,6.58,NA,5984,2464,1620,NA
BR2_13_BRS_274_0_NA_28,BR2,2014,23,19181,5.03,NA,7147,2560,9474,NA
BR2_13_BRS_274_0_NA_28,BR2,2014,57,14124,0,4224,5311,0,8813,NA
BR2_13_BRS_291_0_NA_28,BR2,2013,322,900,0.49,NA,299,601,0,NA
BR2_13_BRS_291_0_NA_28,BR2,2013,336,NA,NA,NA,NA,NA,NA,NA
BR2_13_BRS_291_0_NA_28,BR2,2013,337,2361,1.98,NA,983,1368,10,NA
BR2_13_BRS_291_0_NA_28,BR2,2013,356,5719,5.87,NA,3527,2095,96,NA
BR2_13_BRS_291_0_NA_28,BR2,2014,14,12052,6.37,NA,6774,3420,1859,NA
BR2_13_BRS_291_0_NA_28,BR2,2014,30,19285,5.36,NA,8581,3105,7599,NA
BR2_13_BRS_291_0_NA_28,BR2,2014,57,10113,0,3919,3958,0,6154,NA
BR2_13_BRS_312_0_NA_28,BR2,2013,340,708,0.97,NA,259,449,0,NA
BR2_13_BRS_312_0_NA_28,BR2,2013,352,NA,NA,NA,NA,NA,NA,NA
BR2_13_BRS_312_0_NA_28,BR2,2013,360,2901,3.85,NA,1541,1357,3,NA
BR2_13_BRS_312_0_NA_28,BR2,2014,8,5875,4.94,NA,3612,2159,105,NA
BR2_13_BRS_312_0_NA_28,BR2,2014,30,10037,4.55,NA,6756,2166,1115,NA
BR2_13_BRS_312_0_NA_28,BR2,2014,43,10352,3.48,NA,5464,1621,3268,NA
BR2_13_BRS_312_0_NA_28,BR2,2014,81,8672,0,2692,3490,0,5182,NA
BR2_13_BRS_329_0_NA_28,BR2,2013,354,445,0.53,NA,152,293,0,NA
BR2_13_BRS_329_0_NA_28,BR2,2014,8,1657,1.26,NA,852,800,5,NA
BR2_13_BRS_329_0_NA_28,BR2,2014,13,NA,NA,NA,NA,NA,NA,NA
BR2_13_BRS_329_0_NA_28,BR2,2014,29,5737,2.92,NA,3528,2103,106,NA
BR2_13_BRS_329_0_NA_28,BR2,2014,43,8388,1.97,NA,5716,1785,887,NA
BR2_13_BRS_329_0_NA_28,BR2,2014,57,7964,2.51,NA,4183,1862,1918,NA
BR2_13_BRS_329_0_NA_28,BR2,2014,93,7776,0,3045,2750,0,5027,NA
BR2_13_BRS_346_0_NA_26,BR2,2014,14,407,0.53,NA,131,276,0,NA
BR2_13_BRS_346_0_NA_26,BR2,2014,30,2064,2.4,NA,1108,936,20,NA
BR2_13_BRS_346_0_NA_26,BR2,2014,42,4899,3.79,NA,3071,1738,90,NA
BR2_13_BRS_346_0_NA_26,BR2,2014,57,6219,2.9,NA,3196,2053,969,NA
BR2_13_BRS_346_0_NA_26,BR2,2014,81,8413,2.58,NA,3025,1446,3941,NA
BR2_13_BRS_346_0_NA_26,BR2,2014,104,7247,0,3224,1800,0,5447,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,221,NA,NA,NA,NA,NA,NA,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,228,710.333333333333,1.00468,NA,238,472.333333333333,NA,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,242,2112.33333333333,2.69923666666667,NA,624.333333333333,1376,112,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,256,3522.5,2.88635,NA,899,1815,808.5,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,270,4218.5,1.52339,NA,769,997,2452.5,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,280,NA,NA,NA,NA,NA,NA,NA
CH1_15_JIU_169_1_NA_9.9,CH1,2015,284,NA,NA,1237.69,NA,NA,NA,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,202,140.666666666667,0.1952,NA,43.6666666666667,97,NA,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,215,394,0.385666666666667,NA,90.6666666666667,303.333333333333,NA,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,222,1385.5,0.3103,NA,365.5,1020,NA,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,229,1796.33333333333,2.31626666666667,NA,534,1262.33333333333,NA,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,236,2338.33333333333,2.43796666666667,NA,781.333333333333,1555,2,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,243,3561,3.84349333333333,NA,1101,1810,650,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,247,NA,NA,NA,NA,NA,NA,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,259,4328.33333333333,2.61049333333333,NA,1407.66666666667,1711.66666666667,1209,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,274,4487.93333333333,2.06335333333333,NA,1289.46666666667,1420.13333333333,1778.33333333333,NA
CH1_16_JIU_170_1_NA_9.9,CH1,2016,281,NA,NA,1122.61,NA,NA,NA,NA
CH1_14_NAN_166_1_NA_9.9,CH1,2014,221,1359.07462586686,2.223184,NA,396.19979600098,962.874829865882,NA,NA
CH1_14_NAN_166_1_NA_9.9,CH1,2014,224,NA,NA,NA,NA,NA,NA,NA
