EXP,SITE,Site,Year,PLTYR,HVTYR,VRT,LON,LAT,SOW,EMR,FLW,SEEDFILL,HVT,Yield,IRR,SOIL,NFERT,PDENS
BR1_13_BRS_291_0_NA_38,BR1,Piracicaba,2013,2013,2014,BRS284,-47.63,-22.72,291,298,329,359,35,2965,0,3,NA,38
BR1_13_BRS_291_1_NA_37,BR1,Piracicaba,2013,2013,2014,BRS284,-47.63,-22.72,291,297,327,359,42,5375,1,3,NA,37
BR1_13_BRS_318_0_NA_22,BR1,Piracicaba,2013,2013,2014,BRS284,-47.63,-22.72,318,333,363,27,66,2546,0,3,NA,22
BR1_13_BRS_318_1_NA_16,BR1,Piracicaba,2013,2013,2014,BRS284,-47.63,-22.72,318,333,363,27,76,5255,1,3,NA,16
BR1_14_BRS_008_0_NA_38,BR1,Piracicaba,2014,2014,2014,BRS284,-47.63,-22.72,8,17,44,67,99,1630,0,3,NA,38
BR1_14_BRS_008_1_NA_36,BR1,Piracicaba,2014,2014,2014,BRS284,-47.63,-22.72,8,17,42,69,112,4082,1,3,NA,36
BR2_13_BRS_274_0_NA_28,BR2,Frederico Westphalen,2013,2013,2014,BRS284,-53.38,-27.35,274,284,322,2,51,4224,0,3,NA,28
BR2_13_BRS_291_0_NA_28,BR2,Frederico Westphalen,2013,2013,2014,BRS284,-53.38,-27.35,291,301,337,14,55,3919,0,3,NA,28
BR2_13_BRS_312_0_NA_28,BR2,Frederico Westphalen,2013,2013,2014,BRS284,-53.38,-27.35,312,320,360,28,76,2692,0,3,NA,28
BR2_13_BRS_329_0_NA_28,BR2,Frederico Westphalen,2013,2013,2014,BRS284,-53.38,-27.35,329,335,8,43,89,3045,0,3,NA,28
BR2_13_BRS_346_0_NA_26,BR2,Frederico Westphalen,2013,2013,2014,BRS284,-53.38,-27.35,346,358,30,57,101,3224,0,3,NA,26
BR3_13_BRS_283_0_NA_37,BR3,Londrina,2013,2013,2014,BRS284,-51.15,-23.3,283,290,336,344,36,3211,0,3,NA,37
BR3_13_BRS_283_1_NA_37,BR3,Londrina,2013,2013,2014,BRS284,-51.15,-23.3,283,290,336,354,41,4132,1,3,NA,37
BR3_13_BRS_304_0_NA_27,BR3,Londrina,2013,2013,2014,BRS284,-51.15,-23.3,304,309,341,5,50,2747,0,3,NA,27
BR3_13_BRS_304_1_NA_37,BR3,Londrina,2013,2013,2014,BRS284,-51.15,-23.3,304,309,341,12,55,2968,1,3,NA,37
BR3_13_BRS_323_0_NA_27,BR3,Londrina,2013,2013,2014,BRS284,-51.15,-23.3,323,329,9,21,83,1172,0,3,NA,27
BR3_13_BRS_323_1_NA_33,BR3,Londrina,2013,2013,2014,BRS284,-51.15,-23.3,323,329,9,21,83,3139,1,3,NA,33
CH1_13_YAAN1_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan1,103,29.98,162,NA,NA,NA,267,387.09,1,5,NA,9.9
CH1_13_YAAN10_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan10,103,29.98,162,NA,NA,NA,280,1399.618,1,5,NA,9.9
CH1_13_YAAN11_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan11,103,29.98,162,NA,NA,NA,282,2178.462,1,5,NA,9.9
CH1_13_YAAN12_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan12,103,29.98,162,NA,NA,NA,283,1190.1659,1,5,NA,9.9
CH1_13_YAAN13_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan13,103,29.98,162,NA,NA,NA,283,992.409,1,5,NA,9.9
CH1_13_YAAN14_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan14,103,29.98,162,NA,NA,NA,284,1516.824375,1,5,NA,9.9
CH1_13_YAAN15_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan15,103,29.98,162,NA,NA,NA,284,1922.426,1,5,NA,9.9
CH1_13_YAAN16_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan16,103,29.98,162,NA,NA,NA,284,1757.206,1,5,NA,9.9
CH1_13_YAAN17_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan17,103,29.98,162,NA,NA,NA,285,987.855,1,5,NA,9.9
CH1_13_YAAN18_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan18,103,29.98,162,NA,NA,NA,285,1082.895,1,5,NA,9.9
CH1_13_YAAN19_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan19,103,29.98,162,NA,NA,NA,285,1977.2335,1,5,NA,9.9
CH1_13_YAAN2_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan2,103,29.98,162,NA,NA,NA,270,112.78575,1,5,NA,9.9
CH1_13_YAAN20_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan20,103,29.98,162,NA,NA,NA,287,1964.41575,1,5,NA,9.9
CH1_13_YAAN21_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan21,103,29.98,162,NA,NA,NA,287,1247.587,1,5,NA,9.9
CH1_13_YAAN22_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan22,103,29.98,162,NA,NA,NA,287,1221.264,1,5,NA,9.9
CH1_13_YAAN23_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan23,103,29.98,162,NA,NA,NA,287,1492.92,1,5,NA,9.9
CH1_13_YAAN24_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan24,103,29.98,162,NA,NA,NA,287,1557.105,1,5,NA,9.9
CH1_13_YAAN25_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan25,103,29.98,162,NA,NA,NA,287,1069.4871,1,5,NA,9.9
CH1_13_YAAN26_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan26,103,29.98,162,NA,NA,NA,287,1336.87761428571,1,5,NA,9.9
CH1_13_YAAN27_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan27,103,29.98,162,NA,NA,NA,287,938.8665,1,5,NA,9.9
CH1_13_YAAN28_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan28,103,29.98,162,NA,NA,NA,287,1154.2685,1,5,NA,9.9
CH1_13_YAAN29_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan29,103,29.98,162,NA,NA,NA,287,2073.6595,1,5,NA,9.9
CH1_13_YAAN3_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan3,103,29.98,162,NA,NA,NA,272,967.505,1,5,NA,9.9
CH1_13_YAAN30_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan30,103,29.98,162,NA,NA,NA,287,1509.387,1,5,NA,9.9
CH1_13_YAAN31_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan31,103,29.98,162,NA,NA,NA,287,1721.51925,1,5,NA,9.9
CH1_13_YAAN32_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan32,103,29.98,162,NA,NA,NA,287,956.3895,1,5,NA,9.9
CH1_13_YAAN33_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan33,103,29.98,162,NA,NA,NA,287,1585.7765,1,5,NA,9.9
CH1_13_YAAN34_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan34,103,29.98,162,NA,NA,NA,287,2072.3725,1,5,NA,9.9
CH1_13_YAAN35_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan35,103,29.98,162,NA,NA,NA,289,1073.6264,1,5,NA,9.9
CH1_13_YAAN36_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan36,103,29.98,162,NA,NA,NA,289,1536.1445,1,5,NA,9.9
CH1_13_YAAN37_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan37,103,29.98,162,NA,NA,NA,293,1184.337,1,5,NA,9.9
CH1_13_YAAN38_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan38,103,29.98,162,NA,NA,NA,295,1201.1703,1,5,NA,9.9
CH1_13_YAAN39_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan39,103,29.98,162,NA,NA,NA,295,1232.385,1,5,NA,9.9
CH1_13_YAAN4_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan4,103,29.98,162,NA,NA,NA,275,800.767,1,5,NA,9.9
CH1_13_YAAN40_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan40,103,29.98,162,NA,NA,NA,295,1919.84375,1,5,NA,9.9
CH1_13_YAAN41_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan41,103,29.98,162,NA,NA,NA,295,1487.7005,1,5,NA,9.9
CH1_13_YAAN42_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan42,103,29.98,162,NA,NA,NA,295,2906.277,1,5,NA,9.9
CH1_13_YAAN43_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan43,103,29.98,162,NA,NA,NA,297,986.2941,1,5,NA,9.9
CH1_13_YAAN44_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan44,103,29.98,162,NA,NA,NA,297,1495.3895,1,5,NA,9.9
CH1_13_YAAN45_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan45,103,29.98,162,NA,NA,NA,297,1174.91,1,5,NA,9.9
CH1_13_YAAN46_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan46,103,29.98,162,NA,NA,NA,297,1744.2315,1,5,NA,9.9
CH1_13_YAAN47_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan47,103,29.98,162,NA,NA,NA,297,973.1777,1,5,NA,9.9
CH1_13_YAAN48_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan48,103,29.98,162,NA,NA,NA,284,1512.555,1,5,NA,9.9
CH1_13_YAAN49_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan49,103,29.98,162,NA,NA,NA,297,967.371428571429,1,5,NA,9.9
CH1_13_YAAN5_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan5,103,29.98,162,NA,NA,NA,280,986.169407142857,1,5,NA,9.9
CH1_13_YAAN50_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan50,103,29.98,162,NA,NA,NA,297,1090.36125,1,5,NA,9.9
CH1_13_YAAN51_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan51,103,29.98,162,NA,NA,NA,297,1297.406,1,5,NA,9.9
CH1_13_YAAN52_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan52,103,29.98,162,NA,NA,NA,297,1167.7813125,1,5,NA,9.9
CH1_13_YAAN53_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan53,103,29.98,162,NA,NA,NA,287,1612.722375,1,5,NA,9.9
CH1_13_YAAN54_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan54,103,29.98,162,NA,NA,NA,299,1065.207,1,5,NA,9.9
CH1_13_YAAN55_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan55,103,29.98,162,NA,NA,NA,299,1160.082,1,5,NA,9.9
CH1_13_YAAN56_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan56,103,29.98,162,NA,NA,NA,299,2139.9785,1,5,NA,9.9
CH1_13_YAAN57_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan57,103,29.98,162,NA,NA,NA,299,1759.56,1,5,NA,9.9
CH1_13_YAAN58_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan58,103,29.98,162,NA,NA,NA,300,1525.65504866071,1,5,NA,9.9
CH1_13_YAAN59_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan59,103,29.98,162,NA,NA,NA,301,1079.034,1,5,NA,9.9
CH1_13_YAAN6_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan6,103,29.98,162,NA,NA,NA,280,1001.99738571429,1,5,NA,9.9
CH1_13_YAAN60_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan60,103,29.98,162,NA,NA,NA,303,1686.707,1,5,NA,9.9
CH1_13_YAAN61_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan61,103,29.98,162,NA,NA,NA,306,1457.3185,1,5,NA,9.9
CH1_13_YAAN63_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan63,103,29.98,162,NA,NA,NA,306,1290.729,1,5,NA,9.9
CH1_13_YAAN63_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan63,103,29.98,162,NA,NA,NA,306,2434.8192,1,5,NA,9.9
CH1_13_YAAN64_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan64,103,29.98,162,NA,NA,NA,310,1637.5095,1,5,NA,9.9
CH1_13_YAAN65_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan65,103,29.98,162,NA,NA,NA,310,2363.504,1,5,NA,9.9
CH1_13_YAAN66_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan66,103,29.98,162,NA,NA,NA,310,1876.688,1,5,NA,9.9
CH1_13_YAAN67_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan67,103,29.98,162,NA,NA,NA,310,1717.98825,1,5,NA,9.9
CH1_13_YAAN7_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan7,103,29.98,162,NA,NA,NA,280,1543.2725,1,5,NA,9.9
CH1_13_YAAN8_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan8,103,29.98,162,NA,NA,NA,280,1075.47165,1,5,NA,9.9
CH1_13_YAAN9_162_1_NA_9.9,CH1,Ya'an,2013,2013,2013,yaan9,103,29.98,162,NA,NA,NA,280,1306.52704285714,1,5,NA,9.9
CH1_14_NAN_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,Nandou12,103,29.98,166,NA,NA,251,295,1749.47,1,5,NA,9.9
CH1_14_TEX_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,Texuan13,103,29.98,166,NA,NA,255,305,1645.05,1,5,NA,9.9
CH1_14_YAAN2014-1_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-1,103,29.98,166,NA,NA,NA,280,690.343333333333,1,5,NA,9.9
CH1_14_YAAN2014-10_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-10,103,29.98,166,NA,NA,241,281,1041.53817,1,5,NA,9.9
CH1_14_YAAN2014-11_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-11,103,29.98,166,NA,NA,255,303,1645.0567265,1,5,NA,9.9
CH1_14_YAAN2014-12_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-12,103,29.98,166,NA,NA,251,280,948.659331818182,1,5,NA,9.9
CH1_14_YAAN2014-13_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-13,103,29.98,166,NA,NA,251,295,1749.49400681818,1,5,NA,9.9
CH1_14_YAAN2014-14_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-14,103,29.98,166,NA,NA,254,295,1603.38663939394,1,5,NA,9.9
CH1_14_YAAN2014-15_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-15,103,29.98,166,NA,NA,251,293,1336.38063666667,1,5,NA,9.9
CH1_14_YAAN2014-2_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-2,103,29.98,166,NA,NA,258,283,1036.73465142857,1,5,NA,9.9
CH1_14_YAAN2014-3_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-3,103,29.98,166,NA,NA,252,289,1243.60695,1,5,NA,9.9
CH1_14_YAAN2014-5_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-5,103,29.98,166,NA,NA,253,289,1156.59167,1,5,NA,9.9
CH1_14_YAAN2014-6_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-6,103,29.98,166,NA,NA,249,289,980.1576,1,5,NA,9.9
CH1_14_YAAN2014-7_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-7,103,29.98,166,NA,NA,249,295,1435.83006060606,1,5,NA,9.9
CH1_14_YAAN2014-8_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-8,103,29.98,166,NA,NA,246,280,1041.87614,1,5,NA,9.9
CH1_14_YAAN2014-9_166_1_NA_9.9,CH1,Ya'an,2014,2014,2014,yaan2014-9,103,29.98,166,NA,NA,249,295,1626.85256,1,5,NA,9.9
CH1_15_JIU_169_1_NA_9.9,CH1,Ya'an,2015,2015,2015,Jiuyuehuang,103,29.98,169,NA,NA,256,284,1237.69,1,5,NA,9.9
CH1_15_NAN_169_1_NA_9.9,CH1,Ya'an,2015,2015,2015,Nandou12,103,29.98,169,NA,NA,251,295,1705.25,1,5,NA,9.9
CH1_15_TEX_169_1_NA_9.9,CH1,Ya'an,2015,2015,2015,Texuan13,103,29.98,169,NA,NA,256,305,1734.19,1,5,NA,9.9
CH1_16_JIU_170_1_NA_9.9,CH1,Ya'an,2016,2016,2016,Jiuyuehuang,103,29.98,170,NA,NA,247,281,1122.61,1,5,NA,9.9
CH1_16_NAN_170_1_NA_9.9,CH1,Ya'an,2016,2016,2016,Nandou12,103,29.98,170,NA,NA,252,296,1604.91,1,5,NA,9.9
CH1_16_TEX_170_1_NA_9.9,CH1,Ya'an,2016,2016,2016,Texuan13,103,29.98,170,NA,NA,256,306,1654.61,1,5,NA,9.9
JP1_13_RYU_133_0_30_9.5,JP1,Morioka: Iwate,2013,2013,2013,Ryuhou,141.13,39.75,133,142,197,NA,272,4283.59757236228,0,3,30,9.5
JP1_13_RYU_148_0_30_9.5,JP1,Morioka: Iwate,2013,2013,2013,Ryuhou,141.13,39.75,148,155,205,NA,275,3948.43508403361,0,3,30,9.5
JP1_14_RYU_136_0_30_9.5,JP1,Morioka: Iwate,2014,2014,2014,Ryuhou,141.13,39.75,134,145,195,NA,274,4278.01548708372,0,3,30,9.5
JP1_14_RYU_150_0_30_9.5,JP1,Morioka: Iwate,2014,2014,2014,Ryuhou,141.13,39.75,150,156,200,NA,283,3604.62687830688,0,3,30,9.5
JP1_15_RYU_134_0_30_9.5,JP1,Morioka: Iwate,2015,2015,2015,Ryuhou,141.13,39.75,134,144,199,NA,278,4079.06165294401,0,3,30,9.5
JP1_15_RYU_149_0_30_9.5,JP1,Morioka: Iwate,2015,2015,2015,Ryuhou,141.13,39.75,149,156,208,NA,288,3668.02139037433,0,3,30,9.5
JP1_15_RYU_156_0_30_9.5,JP1,Morioka: Iwate,2015,2015,2015,Ryuhou,141.13,39.75,156,163,NA,229,288,2702.59359231908,0,3,30,9.5
JP1_15_RYU_176_0_30_9.5,JP1,Morioka: Iwate,2015,2015,2015,Ryuhou,141.13,39.75,176,183,NA,239,292,2014.37069103736,0,3,30,9.5
JP1_16_RYU_158_0_30_9.5,JP1,Morioka: Iwate,2016,2016,2016,Ryuhou,141.13,39.75,158,164,NA,233,293,3333.0626206038,0,3,30,9.5
JP2_13_ENR_163_0_25_9.5,JP2,Tsukubamirai,2013,2013,2013,Enrei,140.017,36,163,168,NA,227,288,3154.47639350787,0,11,25,9.5
JP2_13_ENR_212_0_25_9.5,JP2,Tsukubamirai,2013,2013,2013,Enrei,140.017,36,212,217,NA,255,304,1806.77915241954,0,11,25,9.5
JP2_13_FUK_163_0_25_9.5,JP2,Tsukubamirai,2013,2013,2013,Fukuyutaka,140.017,36,163,168,NA,248,310,3486.40416359802,0,11,25,9.5
JP2_13_FUK_212_0_25_9.5,JP2,Tsukubamirai,2013,2013,2013,Fukuyutaka,140.017,36,212,217,NA,262,330,1735.84945581178,0,11,25,9.5
JP2_13_RYU_163_0_25_9.5,JP2,Tsukubamirai,2013,2013,2013,Ryuhou,140.017,36,163,168,NA,221,288,4052.59694400952,0,11,25,9.5
JP2_13_RYU_212_0_25_9.5,JP2,Tsukubamirai,2013,2013,2013,Ryuhou,140.017,36,212,217,NA,255,310,1919.80665844581,0,11,25,9.5
JP2_14_ENR_168_0_27_9.5,JP2,Tsukubamirai,2014,2014,2014,Enrei,140.017,36,168,175,NA,231,290,3413.96582628623,0,11,27,9.5
JP2_14_ENR_198_0_27_9.5,JP2,Tsukubamirai,2014,2014,2014,Enrei,140.017,36,198,203,NA,246,300,2636.15937079815,0,11,27,9.5
JP2_14_FUK_168_0_27_9.5,JP2,Tsukubamirai,2014,2014,2014,Fukuyutaka,140.017,36,168,175,NA,250,317,2310.98168451057,0,11,27,9.5
JP2_14_FUK_198_0_27_9.5,JP2,Tsukubamirai,2014,2014,2014,Fukuyutaka,140.017,36,198,203,NA,258,324,3165.54537123166,0,11,27,9.5
JP2_15_ENR_155_0_27_9.5,JP2,Tsukubamirai,2015,2015,2015,Enrei,140.017,36,155,161,NA,225,282,2547.11846419167,0,11,27,9.5
JP2_15_ENR_181_0_27_19,JP2,Tsukubamirai,2015,2015,2015,Enrei,140.017,36,181,187,NA,236,292,2779.94431421397,0,11,27,19
JP2_15_ENR_181_0_27_9.5,JP2,Tsukubamirai,2015,2015,2015,Enrei,140.017,36,181,187,NA,236,292,3070.86513833387,0,11,27,9.5
JP2_15_FUK_181_0_27_19,JP2,Tsukubamirai,2015,2015,2015,Fukuyutaka,140.017,36,181,187,NA,253,315,3746.14824782231,0,11,27,19
JP2_15_FUK_181_0_27_9.5,JP2,Tsukubamirai,2015,2015,2015,Fukuyutaka,140.017,36,181,187,NA,253,315,2150.12907782408,0,11,27,9.5
JP2_15_RYU_155_0_27_9.5,JP2,Tsukubamirai,2015,2015,2015,Ryuhou,140.017,36,155,161,NA,218,282,3734.44270329534,0,11,27,9.5
US1_02_PIO_152_0_0_44.8_AMBIENT,US1,Champaign,2002,2002,2002,Pioneer 93B15,-88.23777688,40.04215628,152,156,NA,NA,289,4354.54948711454,0,7,0,44.83814522825
US1_02_PIO_152_0_0_45.4_AMBIENT,US1,Champaign,2002,2002,2002,Pioneer 93B15,-88.23777688,40.04215628,152,156,NA,NA,289,4645.27631618952,0,7,0,45.384951877375
US1_02_PIO_152_0_0_47_AMBIENT,US1,Champaign,2002,2002,2002,Pioneer 93B15,-88.23777688,40.04215628,152,156,NA,NA,289,4891.3736784685,0,7,0,47.02537182475
US1_02_PIO_152_0_0_53.6_AMBIENT,US1,Champaign,2002,2002,2002,Pioneer 93B15,-88.23777688,40.04215628,152,156,NA,NA,289,5017.95618749486,0,7,0,53.58705161425
US1_03_PIO_147_0_0_44.6_AMBIENT,US1,Champaign,2003,2003,2003,Pioneer 93B15,-88.23777688,40.04215628,147,156,NA,NA,281,2157.10413045018,0,7,0,44.625
US1_03_PIO_147_0_0_51.3_AMBIENT,US1,Champaign,2003,2003,2003,Pioneer 93B15,-88.23777688,40.04215628,147,156,NA,NA,281,3276.30514285713,0,7,0,51.3333333333333
US1_03_PIO_147_0_0_52.5_AMBIENT,US1,Champaign,2003,2003,2003,Pioneer 93B15,-88.23777688,40.04215628,147,156,NA,NA,281,3000.79561195792,0,7,0,52.5
US1_03_PIO_147_0_0_53.1_AMBIENT,US1,Champaign,2003,2003,2003,Pioneer 93B15,-88.23777688,40.04215628,147,156,NA,NA,281,2717.15629162234,0,7,0,53.0833333333333
US1_04_PIO_149_0_0_53.4_AMBIENT,US1,Champaign,2004,2004,2004,Pioneer 93B15,-88.23777688,40.04215628,149,154,NA,NA,279,3639.03,0,7,0,53.8125
US1_04_PIO_149_0_0_56.6_AMBIENT,US1,Champaign,2004,2004,2004,Pioneer 93B15,-88.23777688,40.04215628,149,154,NA,NA,279,3870.25,0,7,0,57.75
